Extracurricular Activities,Previous Scores,Hours Studied,Sleep Hours,Sample Question Papers Practiced,Performance Index
Yes,99,7,9,1,91
No,82,4,4,2,65
Yes,51,8,7,2,45
Yes,52,5,5,2,36
No,75,7,8,5,66
No,78,3,9,6,61
Yes,73,7,5,6,63
Yes,45,8,4,6,42
No,77,5,8,2,61
No,89,4,4,0,69
No,91,8,4,5,84
No,79,8,6,2,73
No,47,3,9,2,27
No,47,6,4,2,33
No,79,5,7,8,68
No,72,2,4,3,43
Yes,73,8,8,4,67
Yes,83,6,7,2,70
Yes,54,2,4,9,30
No,75,5,7,0,63
Yes,99,1,4,3,71
No,96,6,9,0,85
Yes,74,9,7,6,73
No,85,1,5,6,57
No,61,3,6,3,35
Yes,62,7,7,4,49
No,79,4,8,9,66
Yes,84,9,6,6,83
Yes,94,3,6,5,74
Yes,90,5,4,3,74
Yes,61,3,7,3,39
Yes,44,7,9,1,36
Yes,70,5,6,9,58
Yes,52,9,8,1,47
Yes,67,7,9,3,60
Yes,97,2,9,4,74
No,59,4,8,3,42
No,72,9,8,2,68
Yes,55,2,4,1,32
No,68,9,5,3,64
No,62,5,7,4,45
Yes,63,2,6,0,39
Yes,73,4,7,0,58
No,46,7,9,5,36
Yes,77,8,6,4,71
Yes,76,3,4,3,54
Yes,43,1,7,0,17
No,73,4,4,6,54
Yes,81,2,4,3,58
No,61,8,7,2,53
Yes,44,4,7,6,27
Yes,89,2,6,1,65
No,81,6,9,9,75
Yes,62,6,9,0,52
No,93,4,8,3,78
No,99,6,4,7,91
Yes,54,2,9,5,33
Yes,70,2,5,8,47
No,98,4,6,0,78
No,48,8,6,0,38
Yes,82,7,8,4,70
Yes,97,9,8,5,98
Yes,92,8,4,7,87
Yes,64,5,6,2,49
Yes,64,2,6,5,41
No,88,5,5,2,71
No,60,8,4,7,54
No,48,9,4,3,42
No,94,9,9,1,91
Yes,87,1,8,8,61
No,77,9,9,9,74
Yes,61,7,4,7,54
Yes,82,9,5,5,81
Yes,62,8,4,2,52
Yes,88,1,9,1,65
Yes,43,8,7,3,36
No,68,8,7,3,61
Yes,54,3,5,0,35
Yes,40,1,8,8,15
Yes,93,8,6,9,88
No,69,3,4,7,45
Yes,68,3,9,6,49
Yes,59,1,8,5,33
Yes,72,5,9,2,60
No,80,7,8,3,71
Yes,83,9,4,1,81
No,75,7,6,6,67
No,99,9,4,1,95
Yes,61,8,6,9,58
No,52,2,9,0,29
No,46,1,5,5,21
Yes,47,7,6,3,38
Yes,67,7,8,7,60
Yes,84,8,5,0,76
Yes,82,5,9,8,69
No,48,3,7,5,30
No,64,8,5,1,57
Yes,95,6,6,7,81
Yes,55,3,5,4,36
